timestamp,ID,yaw,heading,state,acceleration
2025-03-14 11:57:37.403152,98,311,284,DRIVING,10.07
2025-03-14 11:57:37.819791,98,327,138,DRIVING,9.78
2025-03-14 11:57:38.236094,98,345,66,DRIVING,9.73
2025-03-14 11:57:38.680991,98,6,47,DRIVING,10.08
2025-03-14 11:57:39.355683,98,26,64,DRIVING,10.19
2025-03-14 11:57:40.309067,98,46,91,DRIVING,9.99
2025-03-14 11:57:40.309616,98,65,97,DRIVING,9.43
2025-03-14 11:57:40.326905,98,82,96,DRIVING,9.94
2025-03-14 11:57:40.736986,98,96,83,DRIVING,9.68
2025-03-14 11:57:41.152349,98,106,295,DRIVING,9.72
2025-03-14 11:57:41.572151,98,115,297,DRIVING,10.0
2025-03-14 11:57:41.998743,98,125,309,DRIVING,9.54
2025-03-14 11:57:42.406139,98,133,328,DRIVING,9.42
2025-03-14 11:57:42.826045,98,139,300,DRIVING,10.17
2025-03-14 11:57:43.237600,98,139,278,DRIVING,9.13
2025-03-14 11:57:43.653837,98,134,227,DRIVING,9.17
2025-03-14 11:57:44.099201,98,126,193,DRIVING,8.28
2025-03-14 11:57:44.501132,98,113,191,DRIVING,10.5
2025-03-14 11:57:44.909278,98,97,189,DRIVING,8.99
2025-03-14 11:57:45.328798,98,81,190,DRIVING,9.92
2025-03-14 11:57:45.740800,98,64,188,DRIVING,9.71
2025-03-14 11:57:46.180218,98,48,179,DRIVING,10.01
2025-03-14 11:57:46.580135,98,38,1,DRIVING,9.71
2025-03-14 11:57:46.996433,98,35,348,DRIVING,9.64
2025-03-14 11:57:47.412997,98,37,325,DRIVING,9.63
2025-03-14 11:57:47.828672,98,38,327,STANDING,9.56
2025-03-14 11:57:48.254395,98,37,289,DRIVING,9.59
2025-03-14 11:57:48.671560,98,34,152,DRIVING,9.43
2025-03-14 11:57:49.076708,98,32,178,DRIVING,9.55
2025-03-14 11:57:49.497920,98,32,253,DRIVING,9.67
2025-03-14 11:57:49.915218,98,31,268,DRIVING,9.65
2025-03-14 11:57:50.325684,98,27,254,DRIVING,9.9
2025-03-14 11:57:50.754354,98,22,108,DRIVING,9.63
2025-03-14 11:57:51.171203,98,20,323,DRIVING,9.52
2025-03-14 11:57:51.593174,98,21,286,DRIVING,9.61
2025-03-14 11:57:52.004596,98,21,202,DRIVING,9.59
2025-03-14 11:57:52.423450,98,20,260,DRIVING,9.57
2025-03-14 11:57:52.832706,98,16,268,DRIVING,9.48
2025-03-14 11:57:53.257858,98,10,184,DRIVING,9.69
2025-03-14 11:57:53.681669,98,5,183,DRIVING,9.8
2025-03-14 11:57:54.084701,98,2,226,DRIVING,9.84
2025-03-14 11:57:54.503060,98,3,264,DRIVING,9.65
2025-03-14 11:57:54.917736,98,4,257,STANDING,9.52
2025-03-14 11:57:55.340816,98,4,260,DRIVING,9.96
2025-03-14 11:57:55.750525,98,2,228,DRIVING,9.52
2025-03-14 11:57:56.168435,98,359,258,DRIVING,9.56
2025-03-14 11:57:56.592318,98,356,225,DRIVING,9.54
2025-03-14 11:57:57.002305,98,353,266,DRIVING,9.51
2025-03-14 11:57:57.422657,98,349,234,DRIVING,9.83
2025-03-14 11:57:57.848412,98,345,282,DRIVING,9.81
2025-03-14 11:57:58.253292,98,341,295,DRIVING,9.79
2025-03-14 11:57:58.670391,98,339,271,DRIVING,9.84
2025-03-14 11:57:59.089084,98,336,290,DRIVING,9.58
2025-03-14 11:57:59.502420,98,328,263,DRIVING,9.67
2025-03-14 11:57:59.935198,98,320,287,DRIVING,9.95
2025-03-14 11:58:00.334708,98,306,284,DRIVING,9.64
2025-03-14 11:58:00.752598,98,291,274,DRIVING,9.8
2025-03-14 11:58:01.184555,98,280,263,DRIVING,9.56
2025-03-14 11:58:01.599843,98,270,260,DRIVING,9.87
2025-03-14 11:58:02.004046,98,260,269,DRIVING,9.44
2025-03-14 11:58:02.422874,98,254,241,DRIVING,9.83
2025-03-14 11:58:02.837010,98,252,230,DRIVING,9.79
2025-03-14 11:58:03.267688,98,255,236,DRIVING,9.78
2025-03-14 11:58:03.673884,98,262,237,DRIVING,8.28
2025-03-14 11:58:04.087844,98,270,251,DRIVING,9.72
2025-03-14 11:58:04.512425,98,278,273,DRIVING,8.81
2025-03-14 11:58:04.921280,98,287,258,DRIVING,9.56
2025-03-14 11:58:05.343356,98,296,267,DRIVING,9.22
2025-03-14 11:58:05.757030,98,306,106,DRIVING,9.23
2025-03-14 11:58:06.171071,98,313,119,DRIVING,9.46
2025-03-14 11:58:06.596894,98,321,257,DRIVING,9.86
2025-03-14 11:58:07.018403,98,331,264,DRIVING,9.42
2025-03-14 11:58:07.424389,98,345,311,DRIVING,9.32
2025-03-14 11:58:07.846200,98,2,324,DRIVING,10.08
2025-03-14 11:58:08.548757,98,22,316,DRIVING,9.75
2025-03-14 11:58:09.312467,98,41,293,DRIVING,9.5
2025-03-14 11:58:09.313020,98,58,119,DRIVING,9.58
2025-03-14 11:58:09.523480,98,71,125,DRIVING,9.63
2025-03-14 11:58:09.940533,98,81,276,DRIVING,9.72
2025-03-14 11:58:10.348541,98,94,267,DRIVING,9.89
2025-03-14 11:58:10.757930,98,108,110,DRIVING,9.52
2025-03-14 11:58:11.204888,98,120,79,DRIVING,10.11
2025-03-14 11:58:11.594219,98,126,66,DRIVING,9.71
2025-03-14 11:58:12.017923,98,127,71,DRIVING,9.71
2025-03-14 11:58:12.436319,98,126,69,STANDING,9.64
2025-03-14 11:58:12.861547,98,126,67,STANDING,9.68
2025-03-14 11:58:13.263373,98,128,354,DRIVING,9.7
2025-03-14 11:58:13.705354,98,132,62,DRIVING,9.8
2025-03-14 11:58:14.101010,98,137,13,DRIVING,9.69
2025-03-14 11:58:14.520635,98,142,331,DRIVING,9.88
2025-03-14 11:58:14.929185,98,149,292,DRIVING,9.94
2025-03-14 11:58:15.360546,98,156,262,DRIVING,9.97
2025-03-14 11:58:15.765692,98,161,154,DRIVING,10.35
2025-03-14 11:58:16.182599,98,161,161,DRIVING,9.59
2025-03-14 11:58:16.599508,98,156,199,DRIVING,9.66
2025-03-14 11:58:17.027090,98,146,239,DRIVING,10.09
2025-03-14 11:58:17.435589,98,133,206,DRIVING,9.19
2025-03-14 11:58:17.854356,98,118,193,DRIVING,10.12
2025-03-14 11:58:18.275060,98,99,176,DRIVING,10.09
2025-03-14 11:58:18.694320,98,77,255,DRIVING,9.38
2025-03-14 11:58:19.111102,98,52,115,DRIVING,9.76
2025-03-14 11:58:19.532417,98,28,99,DRIVING,9.65
2025-03-14 11:58:19.949950,98,9,74,DRIVING,10.0
2025-03-14 11:58:20.357106,98,354,323,DRIVING,10.11
2025-03-14 11:58:20.770443,98,335,315,DRIVING,9.99
2025-03-14 11:58:21.189941,98,317,306,DRIVING,9.8
2025-03-14 11:58:21.606875,98,301,305,DRIVING,9.6
2025-03-14 11:58:22.025498,98,284,300,DRIVING,9.91
2025-03-14 11:58:22.442789,98,269,279,DRIVING,10.54
2025-03-14 11:58:22.851107,98,260,252,DRIVING,9.77
2025-03-14 11:58:23.280446,98,259,110,DRIVING,9.59
2025-03-14 11:58:23.732584,98,263,267,DRIVING,10.08
2025-03-14 11:58:24.114173,98,270,143,DRIVING,9.74
2025-03-14 11:58:24.522529,98,278,284,DRIVING,9.91
2025-03-14 11:58:24.943314,98,288,244,DRIVING,9.99
2025-03-14 11:58:25.356578,98,298,125,DRIVING,9.83
2025-03-14 11:58:25.778728,98,309,122,DRIVING,9.3
2025-03-14 11:58:26.192839,98,318,154,DRIVING,10.49
2025-03-14 11:58:26.621255,98,328,1,DRIVING,9.44
2025-03-14 11:58:27.022380,98,339,45,DRIVING,9.53
2025-03-14 11:58:27.438820,98,354,30,DRIVING,9.67
2025-03-14 11:58:27.856452,98,11,60,DRIVING,9.52
2025-03-14 11:58:28.290753,98,28,21,DRIVING,9.97
2025-03-14 11:58:28.694769,98,46,314,DRIVING,9.73
2025-03-14 11:58:29.127512,98,65,328,DRIVING,9.48
2025-03-14 11:58:29.522204,98,81,86,DRIVING,9.72
2025-03-14 11:58:29.939365,98,94,83,DRIVING,9.54
2025-03-14 11:58:30.415997,98,103,297,DRIVING,9.97
